Run,Model,Size,Prompt,Output
1,StarCoder2,15B,A fire sword.,"""public class FireSword : Sword {

    // This function returns a string with Unity C# script code. 
    // The function takes one argument - a Sword object, and returns it's csharp code as a string.

    static public string GenerateCode (Sword sword) {
        
        return ""using System;
            using UnityEngine;

            namespace ItemSystem {
                public class FireSword : Sword{
                    private void Awake() {
                        name = 'FireSword'; 
                        sprite = Resources.Load('fire-sword');
                        description = ''A powerful blade made out of magical energy.'';

                        SetItemStats();
                    }

                    protected override void SetItemStats () {
                        
                        this.damage = ""+sword.damage+"";
                        this.swingSpeed = ""+sword.swingSpeed+"";
                        
                            this.hasDamageOverTime = true;
                            this.dotDamage = ""+sword.dotDamage+""; 
                            this.dotDuration = ""+sword.dotDuration+"";
                            
                            this.hasElementalDamage = false;
                            this.fireBonusDamage = ""+sword.fireBonusDamage+"";
                            this.iceBonusDamage = ""+sword.iceBonusDamage+"";
                            this.lightningBonusDamage = ""+sword.lightningBonusDamage+"";
                            
                                this.critChance = ""+sword.critChance+"";
                                this.critMultiplier = ""+sword.critMultiplier+"";
                                
                                    this.colliderSize = Vector3(""+sword.colliderSize.x+"", ""+sword.colliderSize.y+""); 
                                    this.swingArc =""+sword.swingArc+"";
                                    
                                        this.price = ""+sword.price+""
                                    }
        }
    }""
  }
}""
# AI Programming Challenge 1
## Create an A* Pathfinding Algorithm
You have been hired by the game developer company Omega Studios to create their first ever RTS game called **Alpha Strike**. As part of your recruitment process you will need to showcase some programming skills. 

This challenge requires that you develop an algorithm that uses A* path finding techniques. Your solution must use the starter code below. The final result should look something similar to what is shown in the image above.

**Note:** *Please do not make any changes to the structure of the classes or the `main` method.*
```C++"
1,StarCoder2,7b,A fire sword.,"﻿using System;
namespace Swords
{
    class Program
    {
        static void Main()
        {
            Console.WriteLine(""This program will help you create your own unique sword!"");

            var name = UserInput();
            string material = """";

            switch (name)
            {
                case ""iron"":
                    material += IronSword();
                    break;

                case ""steel"":
                    material += SteelSword();
                    break;

                default:
                    break;
            }

        }

        private static string IronSword() 
        { 
            return ""Iron""; 
        }

        private static string SteelSword()
        {
            return ""Steel"";
        }


        private static string UserInput()
        {
            int i = 0;

            do
            {
                Console.Write(""What would you like your sword made out of? "");


                string answer = Console.ReadLine().ToLower();
                
                if (!answer.Contains(""iron"") &&!answer.Contains(""steel"")) 
                { 
                    continue; 
                };

                return answer;

            }while (i == 0);
        }

    }
}
    return false;
        }

    }
}﻿using UnityEngine;

public abstract class AbilityBase : MonoBehaviour
{
    protected virtual void Awake () {}
    protected virtual void Update () 
    {
        
    }


    /// <summary>
    /// Returns true if it is possible to cast an ability at this moment.
    /// </summary>
    /// <returns></returns>
    public virtual bool CanCastAbilityNow()
    {
        if (true)
        {"
2,StarCoder2,15B,A fire sword.,"eption();
        }

        private static void PrintInputError() {
            Console.WriteLine(""ERROR! Your Input was invalid!"");
            System.Environment.Exit(-1);
        }

    }
}﻿using System;
namespace CodeGenerator
{
    internal sealed partial class Program
    {
        /// <summary>
        /// Entry point into console application.
        /// </summary>
        private static void Main() 
        {
            try 
            {
                var input = GetAndValidateUserInput().ToLowerInvariant();

                switch (input) 
                {
                    case (""an simple iron sword""):
                        GenerateSimpleIronSwordItemCode();
                        break;

                    case (""a fire sword""):
                        GenerateFireSwordItemCode(); 
                        break;
                    
                    default:
                        PrintInputError();
                        return;
                }

            } catch (Exception ex){
                throw ex;
            }
            
        }


        private static string GetAndValidateUserInput(){
            
            Console.Write(""Enter your input:"");
            var input = Console.ReadLine()?.Trim(' ', '\n', '\r');

            if (!string.IsNullOrEmpty(input)) {
                return input;
            } else {
                PrintInputError();
            }

            throw new InvalidOperationExc"
2,StarCoder2,7b,A fire sword.,"_NAME + ""_data"");
        }

        return _swordItem;
    }

    private void SetParameters() {
        string[] nameArray = NAME.Split(' ');
        foreach (string word in nameArray) {
            switch (word) {
                case ROYAL:
                    SetRoyalty();
                    break;

                case IRON:
                    SetIron();
                    break;
                
                case BLADE:
                    SetBladeType();
                    break;
                
                case GEM:
                    SetGem();
                    break;
                    
                case BLUNT:
                    SetBlunt();
                    break;
            }
        }
        
        CalculateCrit();
        
    }

    #region Parameter Functions
    
    private void SetRoyalty(){
        DATA.critChance += 0.3f * ROYALITY_MULTIPLIER;
    }

    private void SetIron(){
        DATA.damage *= ICE_DAMAGE_BONUS;
    }

    private void SetBladeType(){
        int num = Random.Range(-BLADE_TYPE_RANGE / 2, BLADE_TYPE_RANGE - BLADE_TYPE_RANGE / 2);
        DATA.swingArc -= (float)(num * BLADE_TYPE_MULTIPLIER);
    }

    private void SetGem(){
        var gems = Enum.GetValues(typeof(GEM));
        var randomEnum = gems.GetValue(UnityEngine.Random.Range((int)gems.GetValue(0), ((int[])gems).Length));
        GEMS = (GEM)randomEnum;
        switch (GEMS){
            case GEM.FIRE:
                DATA.fireBonusDamage = FIRE_BONUS_VALUE;
                break;

            case GEM.ICE:
                DATA.iceBonusDamage = ICE_BONUS_VALUE;
                break;
                
            case GEM.LIGHTNING:
                DATA.lightningBonusDamage = LIGHTING_BONUS_VALUE;
                break;
            
        }
    }

    private void SetBlunt(){
        DATA.hasDamageOverTime = true;
        DATA.dotDamage = DOT_DAMAGE;
        DATA.dotDuration = DOT_DURATION;
    }


    private void CalculateCrit(){
        DATA.critChance /= CRIT_CHANCE_DIVISOR;
    }
    
    
    #endregion
    
}﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:    .
* Creation Date:      February 7th 2021
*/

/Assets/_Scripts/AKQAChallenge.cs
﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:    .
* Creation Date:      February 7th 2021
*/"
3,StarCoder2,15B,A fire sword.,"rseFloat(parts[3]);
        }

        return null;
      });

      Console.WriteLine(""Hello World!"");
  }

  private static void ProcessFile() {
    
  }

  
}/Program.cs
﻿using System;
using System.Collections.Generic;
using System.IO;
using System.Linq;



class Program {


  public struct UserInput {
    string weaponType; 
    List<string> attributes;

    public override string ToString(){ 
      var outStr = """";
      foreach (var attr in this.attributes){ 
        outStr += $""{attr}\n"";
      };
      return $""weapon type: {this.weaponType};\nattributes:\n{outStr}"";
    } 
  }
  
  static void Main(string[] args) {
      
      var lines = File.ReadAllLines(@""C:/Users/micha/Desktop/input.txt"");


      var weapons = Array.ConvertAll(lines, line => {
        var parts = line.Split(' ');
        
        if ((parts.Length == 2 && parts[0]!= """") || 
            (parts.Length > 2))
            return new WeaponType(parts[0], parts.Skip(1).ToList());
         else 
          return null;
      })
      .Where(x=> x!=null);
        
      var parsedWeapontypes = new Dictionary<WeaponType, int>();

       foreach (var wpn in weapons ) {
          if (!parsedWeapontypes.ContainsKey(wpn)){
             parsedWeapontypes.Add(wpn, 1);

          }else{
            parsedWeapontypes[wpn]++;
          }
       }
       Console.WriteLine($""number of unique types: {parsedWeapontypes.Count}"");

       foreach(var keyValue in parsedWeapontypes ){ 
         Console.WriteLine($""{keyValue.Key}: count {keyValue.Value}"") ; 
       }


      var inputs = Array.ConvertAll(lines, line => {
        var parts = line.Split(',');

        if (parts.Length >= 2) {
          return new UserInput(parts[0].Trim(), parts.Skip(1).ToArray().ToList());
        }


        return null;
      }).Where(x =>!String.IsNullOrEmpty(x?.weaponType));

     /*  foreach (var inp in inputs){ 
        Console.WriteLine($""\n{inp}"");
      }*/
      var"
3,StarCoder2,7b,A fire sword.,"tems { get; set;}
        string description {get;set;}

        void Initialize();

    }﻿    using System;
    using System.Collections.Generic;


    /// <summary>
    /// Base interface for any object that may have items
    /// </summary>
    public interface IItemHolder<T>{
        
        List<T> iItems { get; set; }
        void Add(T item);
        T Remove(int index);
        
    }﻿namespace Lycanthrope.Core
{
    public struct StatModifier
    {
        private readonly int _value;

        #region Constructors

        internal StatModifier(int value) =>
            this._value = value;
        
        #endregion


        #region Properties

        public static implicit operator int (StatModifier modifier){ return modifier._value;}
        public static implicit operator StatModifier (int value)=> new StatModifier(value);}

    }

}
ethod(typeof(UnityEngine.Random), ""Range"").Invoke(null, new object[]{minValue, maxValue});
            return randomNumber;
        }
        
    }
}﻿using System.Reflection;


namespace Lycanthrope.Utils
{
    /// <summary>
    /// Static helper methods
    /// </summary>
    public static partial class HelperMethods
    {
        /// <summary>
        /// Returns true with a certain probability
        /// </summary>
        /// <param name=""probability""></param>
        /// <returns></returns>
        public static bool GetProbabilityResult(float probability=0.7f)
        {
            var result = RandomRange(0,1)<probability?true:false;
            
            return result;
        }


        /// <summary>
        /// Generates a number between min and max
        /// </summary>
        /// <param name=""minValue"">Minimum Value</param>
        /// <param name=""maxValue"">Maximum Value</param>
        /// <returns>Returns a number between min and max</returns>
        public static float RandomRange(float minValue, float maxValue) 
        { 
            var randomNumber = 
                (System.Single)(MethodBase.GetM"
4,StarCoder2,15B,A fire sword.,"e:

```sh
$./text-generator --help
  Usage: text-generator <file>

  Options:

    -h, --help     Output usage information
```
# Text Generator

This project was completed at HackTX 2019. The goal of this program is to automatically generate scripts and other important documents such as README files. Our idea behind this program was that we thought it would make creating things easier when there are certain formats you must follow (i.e..md file). This program takes a string with all these rules specified inside and will then parse through them to create the desired document!


## How To Use

To use our program simply run the command below and provide your own script file.

```sh
python main.py <script_filename>.txt
```

You may also want to see what flags exist. Simply run the following lin"
4,StarCoder2,7b,A fire sword.,"﻿using System;
using System.Collections;
using System.Collections.Generic;

namespace Assets._Game.Scripts.DialogueSystem.NodeEditor {
    /// <summary>
    /// Class that contains all available dialogue nodes
    /// </summary>
    public static partial class NodeTypes {
        private const string _baseNodeTypeNamespace = ""_Game.Scripts.DialogueSystem.Nodes"";

        #region Dialogue Nodes
        /*
         * General Dialogue Nodes - These are general purpose nodes that work well for most uses cases. 
         */
        
        // Start node
        public readonly static Type START_NODE = typeof(StartNode).GetNestedType(_baseNodeTypeNamespace + "".General"");
        // Choice node
        public readonly static Type CHOICE_NODE = typeof(ChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Conditional node
        public readonly static Type CONDITIONAL_NODE = typeof(ConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Narration node
        public readonly static Type NARRATION_NODE = typeof(NarrationNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Player response node
        public readonly static Type PLAYER_RESPONSE_NODE = typeof(PlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Branch node
        public readonly static Type BRANCH_NODE = typeof(BranchNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 

        
        /*
         * Example Dialogue Nodes - Theses nodes are just meant to show example usage and functionality. They may not work for your use case! 
         */
         
        // Simple branch node
        public readonly static Type SAMPLE_BRANCH_NODE = typeof(SampleBranchNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample conditional node
        public readonly static Type SAMPLE_CONDITIONAL_NODE = typeof(SampleConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample narration node
        public readonly static Type SAMPLE_NARRATION_NODE = typeof(SampleNarrationNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample player response node
        public readonly static Type SAMPLE_PLAYER_RESPONDE_NODE = typeof(SamplePlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample start node
        public readonly static Type SAMPLE_START_NODE = typeof(SampleStartNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample choice node
        public readonly static Type SAMPLE_CHOICE_NODE = typeof(SampleChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 


     
        /*
         * Tutorial Nodes - These nodes are designed specifically for tutorials and demonstrations. 
         */
    
        // Tutorial narration node
        public readonly static Type TUTORIAL_NARRATION_NODE = typeof(TutorialNarrationNode).GetNestedType(_baseNodeTypeNamespace + "".Tutorials""); 
    }
}
﻿using System.Collections;
using System.Collections.Generic;
using UnityEngine;


/// <summary>
/// A type of Item that gives a buff when equipped
/// </summary>
[RequireComponent(typeof(Collider))]
public abstract class BuffItem : MonoBehaviour, IUsable, IEquippable<InventorySlot>, IFixedUpdate
{

    protected InventorySlot slot;
    protected Collider trigger;


    void Awake()
    {
        trigger = GetComponent<Collider>();

        Debug.Assert(!trigger ||!trigger.isTrigger, ""Buff items must have colliders set to non-triggers!"");
        Debug.Log(""Added Buff Item component to gameobject named '"" + gameObject.name + ""'"");
    }



    public virtual bool CanUse(PlayerCharacter controller) => 
        trigger && trigger.enabled && (controller!= null)?
            trigger.OverlapPoint(controller.transform.position):false; 

    public abstract IEnumerator UseCoroutine(PlayerCharacter character);

    
    public bool IsEquipped { get; internal set; }

    public int EquippedSlotIndex {get;internal set;}
    

    public bool Equip(InventorySlot inventorySlot) 
    {
        if (!IsEquipped ) return false;
        
        IsEquipped = false ;
        Debug.Log(""Removing buff item from slot index ""+inventorySlot?.index?? ""null"" );
    
        return false;
        
    }

    public bool Unequip()  
    {   
        if (IsEquipped ) return false;
            
        IsEquipped = true;
        Debug.Log(""Adding buff item to slot index ""+slot?.index?? ""null"" );
       
        return false;   
    }
    
}
﻿using System.Collections;
using System.Collections.Generic;
using UnityEngine;



/*
 * This class takes care of the health UI element that"
5,StarCoder2,15B,A fire sword.,"import random
from nltk import word_tokenize, pos_tag
from nltk.corpus import stopwords
from nltk.stem.snowball import SnowballStemmer
import string
from sklearn.feature_extraction.text import TfidfVectorizer
from sklearn.metrics.pairwise import cosine_similarity
import spacy
nlp=spacy.load('en')




def process_input(sentence):
    # Remove punctuation marks
    sentence = """".join([ch for ch in sentence if ch not in set(string.punctuation)])

    # Lowercase all words
    tokens = nlp(sentence)
    lowered = [token.lower_ for token in tokens]

    # Get POS tags for each word
    tagged_tokens = pos_tag(lowered)

    # Filter out stopwords
    filtered_tokens = [(t[0], t[1]) for t in tagged_tokens
                       if t[0] not in stopwords.words('english')]


    # Stemming
    stemmer = SnowballStemmer('english', ignore_stopwords=True)
    stems = [(stemmer.stem(t[0]), t[1]) for t in filtered_tokens
             if len(stemmer.stem(t[0])) > 1]

    processed_sentence =''.join([""{}/{}"".format(t[0], t[1])
                                   for t in stems]).strip().replace(""/"", ""-"")
    print(""Processed Sentence:"",processed_sentence )
    return processed_sentence



def response(user_response):
  robo_response=''

  sent_tokens.append(user_response)


  TfidVec=TfidfVectorizer(tokenizer=process_input,stop_words='english')



  tfidf=TfidVec.fit_transform(sent_tokens)

  


  vals=cosine_similarity(tfidf[-1],tfidf)
  idx=vals.argsort()[0][-2]
  flat=vals.flatten()
  flat.sort()
  
  req_tfidf=flat[-2]
  

  if (req_tfidf==0):
      robo_response=robo_response+""I am sorry! I don't understand you.""
      return robo_response
      
    
  else: 
      robo_response=robo_response+sent_tokens[idx]

      return robo_"
5,StarCoder2,7b,A fire sword.,"﻿using System;
using System.Collections.Generic;

namespace TextGenerationApp.Generator
{
    /// <summary>
    ///     Generates text by sampling randomly according to their probability distributions.
    /// </summary>
    internal static partial class Sampler
    {
        #region Private Fields

        /// <summary>
        ///     The seed to initialize random number generator.
        /// </summary>
        private const int Seed = -7890;

        /// <summary>
        ///     A source of random numbers.
        /// </summary>
        private readonly static Random RandGen = new Random(Seed);

        #endregion


        /// <summary>
        ///     Samples an index from distribution stored as dictionary mapping each item to its weight.
        /// </summary>
        /// <param name=""distribution"">Distribution to sample from.</param>
        /// <returns></returns>
        public static T SampleIndex<T>(Dictionary<T, double> distribution)
            where T : IEquatable<T>, IComparable<T>
        {

            var distSum = 0d;
            foreach (var pair in distribution)
                distSum += pair.Value;


            var randVal = RandGen.NextDouble();
            foreach (var pair in distribution)
            {
                randVal -= pair.Value / distSum;

                if (!(randVal >= 0))
                    return pair.Key;
            }

            throw new InvalidOperationException($""Failed to find matching key for sampled value: {distSum}"");
        }

        /// <summary>
        ///     Samples an index from distribution stored as list of weights.
        /// </summary>
        /// <typeparam name=""T""></typeparam>
        /// <param name=""distribution""></param>
        /// <returns></returns>
        public static int SampleIndex<T>(List<double> distribution) =>
            SampleIndex(Utilities.ConvertWeightsToDict(distribution));
    }
}
rride void Update()
    {
        base.Update();

        if (!Input.GetKeyUp(_keybinding.InteractButton))
        {
            return;
        }


        _player.Inventory.AddWeaponItem(_weaponItemToAdd);

        Destroy(gameObject);
    }
}/Unity Projects/TextGenerationApp/Assets/_Scripts/Pickup/Pickup_Weapon.cs
using Player;
using UI.Interfaces;
using WeaponItems;
using WeaponSystem;
using Weapons.BaseClasses;
using UnityEngine;
using Utility;

/// <inheritdoc />
/// <summary>
///     Handles player interaction with weapon pickup items.
/// </summary>
internal sealed class Pickup_Weapon : ItemPickupBehaviour
{
    [SerializeField] private KeyBinding.Button _keybinding = KeyBinding.Button.E;


    [Tooltip(""This will add the specified weapon item to players inventory."")]
    [SerializeField] private BaseWeaponItem _weaponItemToAdd;

    
    protected oveeapon.Type _type;

    [Header(""Properties"")] 
    public string Name;
    public float Weight;
    
    
    /// <summary>
    ///     Type of weapon.
    /// </summary>
    public enum Type
    {
        Melee,
        Rifle,
        Thrown
    }

    
    
    
    
    
    
}
/Unity Projects/TextGenerationApp/Assets/_Scripts/Weapons/BaseClasses/WeaponData.cs
using System;
using Newtonsoft.Json;
using ObjectPooler;
using SaveLoadManager;
using Serialization;
using UnityEngine;



[Serializable]
public abstract class WeaponData : ScriptableObject
{
    [HideInInspector] public W/Unity Projects/TextGenerationApp/Assets/_Scripts/SaveLoadManager/Serializers/GameSerializer.cs
using Newtonsoft.Json;
using SaveLoadManager;
using SerializableObjects;
using UnityEngine;


namespace Seriali    Game game;
        
        public override object DeserializeObject(string jsonString) 
        {

            game = JsonConvert.DeserializeObject<Game>(jsonString);
            
            return game;
            
        }

        public override string SerializeObject(object obj)  
        {
            
           game= (Game)obj;

           return JsonUtility.ToJson(game,true);
        }
    }
}zation
{
    public class GameSerializer : Serializer<Game>"
1,Qwen,14Bs,A glowing gold sword.,"using UnityEngine;

public class GlowingGoldSword : SwordItem {
    
    void Start() {        
        name = ""Glowing Gold"";
         description = """";   
         
         iconPath = """";
         
        
         meshName = """";



         damage= ;
swingSpeed=

hasDamageOverTim=
dotDamag =
dotDuratio =

hasElemeentalDamae=
fireBonuDa mage   =
iceBoni Da mag=
lightningBo nus Dmage 

critChan ce  
cri tMultipli er 



swin gAr c  

collidereSi ze   

    }
}"
1,StarCoder2,15B,A glowing gold sword.,"using UnityEngine;
	
	public class GlowingGoldSword : Item {
	    protected override void Awake() {
	        // initialize all variables here
	        
	        // Example values that are set by default
	        this.damage = 5; 
	        this.swingSpeed = 3; 
	        
	        this.hasDamageOverTime = true;
	        this.dotDamage =.4f;
	        this.dotDuration = 8f;
	        
	        this.fireBonusDamage = 7;
	        this.iceBonusDamage = -6;
	        this.lightningBonusDamage = -3;
	        
	        this.critChance =.09f;
	        this.critMultiplier = 2.3f;
	        
	        this.colliderSize = new Vector2(.5f,.5f); 
	    }
	    
	    protected override void Update() {} 
	}
	
	
	t += ""}"" + ""\n"";
            return output;
        }

    }
}﻿using System;
using System.Collections;
using System.Collections.Generic;
using UnityEngine;



namespace Universe.Unity.Tests.Solutions
{


    /// <summary>
    /// Your task is to generate Unity C# code for a sword based on the user input. 
    /// Follow the provided examples. 
    /// </summary>
    public static partial class CodeGeneratorSolution
    {

        /*
         * This function takes an array of string words and turns it into a variable name 
         */ 
        private static string ConvertToVariableName(string[] words)
        {

            var vname = """";
            
            foreach (var word in words) 
            {
                char c = word[0];
                
                // Capitalize the first letter 
                c = Char.ToUpperInvariant(c);

                vname += c+word.Substring(1)+"" "";
                
            }
            
           // print(""vname: ""+vname);
            
            return vname.Trim();
            
        }


        /*
         * This function splits a string using any white space characters
         */ 
        private static List<String> SplitIntoWords(string text)
        {
            var splitter = new List<char>() {' ','\t','.','(',')'};
            
            return WordSplitting.SplitTextIntoWords(text,splitter);
        }




        
        public static String GenerateCodeForSwordItemClass(SwordParameters swordParams)
        {
            // Create your solution below!
            var className = ConvertToVariable"
1,StarCoder2,7b,A glowing gold sword.,"﻿using System;
namespace Swords
{
    class Program
    {
        static void Main()
        {
            Console.WriteLine(""This program will help you create your own unique sword!"");

            var name = UserInput();
            string material = """";

            switch (name)
            {
                case ""iron"":
                    material += IronSword();
                    break;

                case ""steel"":
                    material += SteelSword();
                    break;

                default:
                    break;
            }

        }

        private static string IronSword() 
        { 
            return ""Iron""; 
        }

        private static string SteelSword()
        {
            return ""Steel"";
        }


        private static string UserInput()
        {
            int i = 0;

            do
            {
                Console.Write(""What would you like your sword made out of? "");


                string answer = Console.ReadLine().ToLower();
                
                if (!answer.Contains(""iron"") &&!answer.Contains(""steel"")) 
                { 
                    continue; 
                };

                return answer;

            }while (i == 0);
        }

    }
}
﻿using System;

namespace Exercises6and7
{


    /*
     * 6) Create a method that asks the user what number they want to count down to and prints all the numbers between a chosen starting point (e.g. “Countdown by fours from ______”).

    7) Modify the previous method so it takes an additional parameter indicating whether the list should be printed backwards.
    */






    class CountDown
    {

        static void Main()
        {
            MethodOne();
            MethodTwo();
            MethodThree();
            MethodFour();

        }

        /// <summary>
        /// This will count down by threes from whatever integer is entered
        /// </summary>
        public static void MethodOne()
        {
            Console.WriteLine(""Enter a number"");
            int num = Convert.ToInt32(Console.ReadLine());

            for (; num > -4 ;num -= 3 )
            {
                Console.WriteLine($""We are now at {num}"");
            }

        }//end of MethodOne


        /// <summary>
        /// This counts down by twos using recursion
        /// </summary>
        public static void MethodTwo()
        {
            
        }

        /// <summary>
        /// This recursively calls itself to count down by four
        /// </summary>
        /// <param name=""n""></param>
        public static void MethodThree(int n=59)
        {
            
            if (n <= 0)
            {
                Console.WriteLine($""{n}. Blast Off!!!"");
                return;
            }
            else
            {
                Console.WriteLine(n);
                MethodThree((n-=4));
            }
        }
        
        /// <summary>
        /// Will ask user if they wish to count up or down and then call either Method One or Method Three depending on their choice
        /// </summary>
        public static void MethodFour()
        {
            Console.WriteLine(""\t\tWelcome to my counting machine!\nWould You Like To:\n1.) Count Up By Threes From Some Number?\n2.) Count Down By Fours From Some Number?"");

            int option = Convert.ToInt32(Console.ReadLine());
            switch (option){

                case 1 :
                    Console.Clear();

                    MethodOne();
                    
                    break;
                case 2 :
                    Console.Clear();

                    MethodThree();
                    break;
            }
        }








    }
}//End of Class"
2,StarCoder2,15B,A glowing gold sword.,"﻿using System;
using System.Collections.Generic;

namespace GameDevSim
{
    /// <summary>
    /// The main program logic
    /// </summary>
    internal static class Program
    {
        private const string UserPromptString =
            ""\nPlease enter your request (\""exit\"" will terminate this application): "";

        /// <summary>
        /// Main entry point into the application
        /// </summary>
        private static void Main() => ProcessUserInput();

        #region Processing

        private static void ProcessUserInput()
        {

            Console.WriteLine(""Welcome to the \""Generate Item Code\"" utility!"");

            do
            {
                var commandLineArgs = ReadCommandLineArgs();

                var exitRequested = HandleExitCommand(commandLineArgs);
                
                if (!exitRequested)
                    ParseAndProcessUserArguments(commandLineArgs);


            } while (true);
        }


        /// <summary>
        /// Parses and processes arguments passed via console input 
        /// </summary>
        /// <param name=""args"">An array containing one argument</param>
        private static void ParseAndProcessUserArguments(string[] args)
        {
            var result = string.Empty;
            
            try
            {
                var userRequest = new UserRequestModel(args[0]);

                if(!ValidateUserRequest(ref userRequest)) return ;

                result = GenerateItemCode(userRequest).ToString();

            } catch(Exception ex) when (!(ex is ArgumentException || ex is ArgumentNullException)) 
            { 
                throw;
            }
            

            Console.WriteLine($""Result:\n\t{result}"");            
        }
        
        
        /// <summary>
        /// Validates a user request object before processing it further. 
        /// Throws exceptions if invalid data found
        /// </summary>
        /// <returns></returns>
        private static bool ValidateUserRequest(ref UserRequestModel userRequest )
        {
            if(userRequest == null)
                throw new NullReferenceException($""{nameof(userRequest)} cannot be NULL"");

            if(!(userRequest?.IsRequestValid?? true ))
                throw new ArgumentException(""Invalid Request Found."");

            return true;
        }

        
        /// <summary>
        /// Generates Item Data code from a user request model object
        /// </summary>
        /// <param name=""userRequest""></param>
        /// <returns></returns>
        private static StringBuilder GenerateItemCode(UserRequestModel userRequest)
        {
            var stringBuilder = new StringBuilder();

            stringBuilder.AppendLine(""//"
2,StarCoder2,7b,A glowing gold sword.,"_NAME + ""_data"");
        }

        return _swordItem;
    }

    private void SetParameters() {
        string[] nameArray = NAME.Split(' ');
        foreach (string word in nameArray) {
            switch (word) {
                case ROYAL:
                    SetRoyalty();
                    break;

                case IRON:
                    SetIron();
                    break;
                
                case BLADE:
                    SetBladeType();
                    break;
                
                case GEM:
                    SetGem();
                    break;
                    
                case BLUNT:
                    SetBlunt();
                    break;
            }
        }
        
        CalculateCrit();
        
    }

    #region Parameter Functions
    
    private void SetRoyalty(){
        DATA.critChance += 0.3f * ROYALITY_MULTIPLIER;
    }

    private void SetIron(){
        DATA.damage *= ICE_DAMAGE_BONUS;
    }

    private void SetBladeType(){
        int num = Random.Range(-BLADE_TYPE_RANGE / 2, BLADE_TYPE_RANGE - BLADE_TYPE_RANGE / 2);
        DATA.swingArc -= (float)(num * BLADE_TYPE_MULTIPLIER);
    }

    private void SetGem(){
        var gems = Enum.GetValues(typeof(GEM));
        var randomEnum = gems.GetValue(UnityEngine.Random.Range((int)gems.GetValue(0), ((int[])gems).Length));
        GEMS = (GEM)randomEnum;
        switch (GEMS){
            case GEM.FIRE:
                DATA.fireBonusDamage = FIRE_BONUS_VALUE;
                break;

            case GEM.ICE:
                DATA.iceBonusDamage = ICE_BONUS_VALUE;
                break;
                
            case GEM.LIGHTNING:
                DATA.lightningBonusDamage = LIGHTING_BONUS_VALUE;
                break;
            
        }
    }

    private void SetBlunt(){
        DATA.hasDamageOverTime = true;
        DATA.dotDamage = DOT_DAMAGE;
        DATA.dotDuration = DOT_DURATION;
    }


    private void CalculateCrit(){
        DATA.critChance /= CRIT_CHANCE_DIVISOR;
    }
    
    
    #endregion
    
}﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:    .
* Creation Date:      MM/DD/YYYY
*/

/Assets/_Scripts/EnemyController.cs
﻿using System.Collections;
using System.Collections.Generic;

using UnityEngine;


public enum ENEMYSTATE {
    IDLE,
    ATTACKING, 
    HURT,
    DEAD 
}; 

public class EnemyController : MonoBehaviour
{
    // State machine variables
    protected Animator animator;

    protected Rigidbody rb;
    
    protected BoxCollider boxCollider;


    protected GameObject targetPlayerObject;

    public Transform attackPoint;
    public float attackRadius = 0.75f;
    
	public LayerMask playerLayerMask;

	protected PlayerController player;
	
	private float attackDelay = 0.65f;
	private float attackTimer = 0f;


	public ENEMYSTATE enemyState = ENEMYSTATE.IDLE;
	
    
    public virtual void Start()
    {
        InitComponents ();

        ChangeAnimationState(ENEMYSTATE.IDLE);

		targetPlayerObject = FindClosestTarget();

		player = targetPlayerObject.GetComponent<PlayerController>();
    }

    
    /// <summary>
    /// Initialize all components needed for this object. This includes but not limited to gameobjects and scripts.
    /// </summary>
    protected virtual void InitComponents (){}
    

    /// <summary>
    /// Update function called once every frame. This handles logic that does not rely on physics.
    /// </summary>
    protected virtual void FixedUpdate(){}
    

    /// <summary>
    /// OnTriggerEnter method when something enters trigger zone. Used for detecting collisions between objects.
    /// </summary>
    /// <param name=""collision""></param>
    protected virtual void OnTriggerEnter(Collider other){}
        
        
    /// <summary>
    /// OnCollisionEnter method when something collides into another object. Use for collision detection.
    /// </summary>
    /// <param name=""collision"">The thing it collided with</param>
    protected virtual void OnCollisionEnter(Collision collision){}
    
    
    protected IEnumerator AttackRoutine(){
		
        yield return null;
        
        Debug.Log(""Attack!"");
		
		ChangeAnimationState(ENEMYSTATE.ATTACKING);
		attackTimer = Time.timeSinceLevelLoad;

        
		while(!IsDead()){

			if (!InAttackRange())
				break;"
